[0][0]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[1][29]: 46418177.000000
[1][30]: 36007025.000000
[1][31]: 11881169.000000
[1][32]: 27585818.000000
[1][33]: 7051969.000000
[1][34]: 9750536.000000
[1][35]: 39355586.000000
[1][36]: 51592066.000000
[1][37]: 31606037.000000
[1][38]: 9511762.000000
[1][39]: 20821069.000000
[1][40]: 7590404.000000
[1][41]: 2530970.000000
[1][42]: 49374530.000000
[1][43]: 38262617.000000
[1][44]: 12049285.000000
[1][45]: 29819765.000000
[1][46]: 19263808.000000
[1][47]: 4356724.000000

[2][0]: 1450457.000000
[2][1]: 12869605.000000
[2][2]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[2][3]: 26646530.000000
[2][4]: 6041104.000000
[2][5]: 13523240.000000
[2][6]: 9427113.000000
[2][7]: 3034561.000000
[2][8]: 2083945.000000
[2][9]: 19909349.000000
[2][10]: 1400968.000000
[2][11]: 2310282.000000
[2][12]: 2241476.000000
[2][13]: 1216045.000000
[2][14]: 2252570.000000
[2][15]: 902954.000000
[2][16]: 18468161.000000
[2][17]: 8424180.000000
[2][18]: 15732205.000000
[2][19]: 4703669.000000
[2][20]: 4879234.000000
[2][21]: 424637.000000
[2][22]: 684125.000000
[2][23]: 17104834.000000
[2][24]: 2302133.000000
[2][25]: 23745749.000000
[2][26]: 15626650.000000
[2][27]: 10582370.000000
[2][28]: 5982833.000000
[2][29]: 12818408.000000
[2][30]: 5956354.000000
[2][31]: 8759386.000000
[2][32]: 3861817.000000
[2][33]: 901160.000000
[2][34]: 30954313.000000
[2][35]: 8497549.000000
[2][36]: 15037065.000000
[2][37]: 4139444.000000
[2][38]: 6160141.000000
[2][39]: 1054602.000000
[2][40]: 1945681.000000
[2][41]: 13082021.000000
[2][42]: 15138125.000000
[2][43]: 7210666.000000
[2][44]: 32037904.000000
[2][45]: 4092490.000000
[2][46]: 3482581.000000
[2][47]: 6553373.000000

[3][0]: 40481433.000000
[3][1]: 4046785.000000
[3][2]: 26646530.000000
[3][3]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[3][4]: 7832570.000000
[3][5]: 65023538.000000
[3][6]: 59703209.000000
[3][7]: 47296825.000000
[3][8]: 43300945.000000
[3][9]: 1964785.000000
[3][10]: 28789714.000000
[3][11]: 35354768.000000
[3][12]: 21892914.000000
[3][13]: 19158157.000000
[3][14]: 38747880.000000
[3][15]: 32588020.000000
[3][16]: 70845749.000000
[3][17]: 57414722.000000
[3][18]: 68813485.000000
[3][19]: 37637401.000000
[3][20]: 23053508.000000
[3][21]: 32562361.000000
[3][22]: 24819085.000000
[3][23]: 5390848.000000
[3][24]: 17450197.000000
[3][25]: 102301.000000
[3][26]: 67004200.000000
[3][27]: 60839200.000000
[3][28]: 7713401.000000
[3][29]: 61748626.000000
[3][30]: 54878336.000000
[3][31]: 14159632.000000
[3][32]: 41738849.000000
[3][33]: 17826298.000000
[3][34]: 2033509.000000
[3][35]: 55513253.000000
[3][36]: 68276837.000000
[3][37]: 50842490.000000
[3][38]: 13457033.000000
[3][39]: 36131336.000000
[3][40]: 21504457.000000
[3][41]: 2825209.000000
[3][42]: 63788005.000000
[3][43]: 56274068.000000
[3][44]: 3520106.000000
[3][45]: 45667940.000000
[3][46]: 28728545.000000
[3][47]: 8087085.000000

[4][0]: 13373585.000000
[4][1]: 3390757.000000
[4][2]: 6041104.000000
[4][3]: 7832570.000000
[4][4]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[4][5]: 28403272.000000
[4][6]: 24462265.000000
[4][7]: 17638865.000000
[4][8]: 14619937.000000
[4][9]: 4044925.000000
[4][10]: 6618440.000000
[4][11]: 9961090.000000
[4][12]: 3698276.000000
[4][13]: 2493781.000000
[4][14]: 11739746.000000
[4][15]: 10101250.000000
[4][16]: 33043441.000000
[4][17]: 22971316.000000
[4][18]: 31102741.000000
[4][19]: 11616013.000000
[4][20]: 4938426.000000
[4][21]: 9399517.000000
[4][22]: 4771133.000000
[4][23]: 3456826.000000
[4][24]: 1960309.000000
[4][25]: 6200693.000000
[4][26]: 30088354.000000
[4][27]: 25344250.000000
[4][28]: 797569.000000
[4][29]: 26423944.000000
[4][30]: 21257018.000000
[4][31]: 2785490.000000
[4][32]: 13520177.000000
[4][33]: 2527592.000000
[4][34]: 9684665.000000
[4][35]: 21913781.000000
[4][36]: 30610801.000000
[4][37]: 18936100.000000
[4][38]: 1565829.000000
[4][39]: 10410802.000000
[4][40]: 5883425.000000
[4][41]: 1365181.000000
[4][42]: 28218229.000000
[4][43]: 22142354.000000
[4][44]: 10502208.000000
[4][45]: 15695426.000000
[4][46]: 7027605.000000
[4][47]: 92285.000000

[5][0]: 9793901.000000
[5][1]: 48675329.000000
[5][2]: 13523240.000000
[5][3]: 65023538.000000
[5][4]: 28403272.000000
[5][5]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[5][6]: 551789.000000
[5][7]: 10293749.000000
[5][8]: 7124429.000000
[5][9]: 48001297.000000
[5][10]: 8009504.000000
[5][11]: 5133386.000000
[5][12]: 11604260.000000
[5][13]: 14846945.000000
[5][14]: 4740746.000000
[5][15]: 16609522.000000
[5][16]: 527085.000000
[5][17]: 774740.000000
[5][18]: 85601.000000
[5][19]: 3721873.000000
[5][20]: 10951546.000000
[5][21]: 13480153.000000
[5][22]: 10983457.000000
[5][23]: 38419826.000000
[5][24]: 15459097.000000
[5][25]: 59982793.000000
[5][26]: 133130.000000
[5][27]: 232018.000000
[5][28]: 33338565.000000
[5][29]: 67840.000000
[5][30]: 2749618.000000
[5][31]: 20365178.000000
[5][32]: 3048349.000000
[5][33]: 19627600.000000
[5][34]: 62558789.000000
[5][35]: 590641.000000
[5][36]: 42485.000000
[5][37]: 4948452.000000
[5][38]: 19661017.000000
[5][39]: 7183898.000000
[5][40]: 25525253.000000
[5][41]: 40745185.000000
[5][42]: 302065.000000
[5][43]: 1495762.000000
[5][44]: 60905128.000000
[5][45]: 2787826.000000
[5][46]: 7310929.000000
[5][47]: 27352481.000000

[6][0]: 5825090.000000
[6][1]: 42250036.000000
[6][2]: 9427113.000000
[6][3]: 59703209.000000
[6][4]: 24462265.000000
[6][5]: 551789.000000
[6][6]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[6][7]: 6087568.000000
[6][8]: 3808186.000000
[6][9]: 44523410.000000
[6][10]: 5663125.000000
[6][11]: 3219705.000000
[6][12]: 9305453.000000
[6][13]: 11593282.000000
[6][14]: 2570165.000000
[6][15]: 11433365.000000
[6][16]: 2156468.000000
[6][17]: 28197.000000
[6][18]: 1039330.000000
[6][19]: 2822954.000000
[6][20]: 9668509.000000
[6][21]: 8958020.000000
[6][22]: 7989032.000000
[6][23]: 36106249.000000
[6][24]: 12609992.000000
[6][25]: 54926504.000000
[6][26]: 1216933.000000
[6][27]: 71249.000000
[6][28]: 28086416.000000
[6][29]: 672941.000000
[6][30]: 838009.000000
[6][31]: 18900505.000000
[6][32]: 1610458.000000
[6][33]: 15131549.000000
[6][34]: 59252500.000000
[6][35]: 109594.000000
[6][36]: 808362.000000
[6][37]: 2199545.000000
[6][38]: 17506690.000000
[6][39]: 4194765.000000
[6][40]: 19485520.000000
[6][41]: 36611258.000000
[6][42]: 1485338.000000
[6][43]: 231625.000000
[6][44]: 58280569.000000
[6][45]: 1109485.000000
[6][46]: 5912308.000000
[6][47]: 23849576.000000

[7][0]: 316186.000000
[7][1]: 26903588.000000
[7][2]: 3034561.000000
[7][3]: 47296825.000000
[7][4]: 17638865.000000
[7][5]: 10293749.000000
[7][6]: 6087568.000000
[7][7]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[7][8]: 515378.000000
[7][9]: 38469370.000000
[7][10]: 5019453.000000
[7][11]: 4204201.000000
[7][12]: 8525317.000000
[7][13]: 7626698.000000
[7][14]: 2844949.000000
[7][15]: 1699765.000000
[7][16]: 15454772.000000
[7][17]: 5430493.000000
[7][18]: 12155114.000000
[7][19]: 7121074.000000
[7][20]: 12153725.000000
[7][21]: 1379860.000000
[7][22]: 5103752.000000
[7][23]: 34094105.000000
[7][24]: 9860680.000000
[7][25]: 43496744.000000
[7][26]: 12693701.000000
[7][27]: 7436545.000000
[7][28]: 16973888.000000
[7][29]: 10492213.000000
[7][30]: 2428489.000000
[7][31]: 20309769.000000
[7][32]: 4332946.000000
[7][33]: 7064549.000000
[7][34]: 53345268.000000
[7][35]: 6305410.000000
[7][36]: 11315938.000000
[7][37]: 968705.000000
[7][38]: 16732682.000000
[7][39]: 1739725.000000
[7][40]: 6470784.000000
[7][41]: 28702402.000000
[7][42]: 13184386.000000
[7][43]: 3944377.000000
[7][44]: 54617489.000000
[7][45]: 3185389.000000
[7][46]: 8286500.000000
[7][47]: 18448840.000000

[8][0]: 213520.000000
[8][1]: 25277850.000000
[8][2]: 2083945.000000
[8][3]: 43300945.000000
[8][4]: 14619937.000000
[8][5]: 7124429.000000
[8][6]: 3808186.000000
[8][7]: 515378.000000
[8][8]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[8][9]: 33504692.000000
[8][10]: 2564741.000000
[8][11]: 1802425.000000
[8][12]: 5427385.000000
[8][13]: 5248296.000000
[8][14]: 940405.000000
[8][15]: 2104337.000000
[8][16]: 11391770.000000
[8][17]: 3225121.000000
[8][18]: 8749800.000000
[8][19]: 3804980.000000
[8][20]: 8034481.000000
[8][21]: 1235834.000000
[8][22]: 2974810.000000
[8][23]: 28574001.000000
[8][24]: 6904250.000000
[8][25]: 39498370.000000
[8][26]: 9040005.000000
[8][27]: 4806665.000000
[8][28]: 15120482.000000
[8][29]: 7075757.000000
[8][30]: 1257665.000000
[8][31]: 15360809.000000
[8][32]: 1881728.000000
[8][33]: 5716069.000000
[8][34]: 47375186.000000
[8][35]: 3709736.000000
[8][36]: 8090596.000000
[8][37]: 372917.000000
[8][38]: 12546532.000000
[8][39]: 455629.000000
[8][40]: 6704594.000000
[8][41]: 24920180.000000
[8][42]: 9230120.000000
[8][43]: 2206637.000000
[8][44]: 48070225.000000
[8][45]: 1235945.000000
[8][46]: 4819498.000000
[8][47]: 15018874.000000

[9][0]: 31962100.000000
[9][1]: 5414162.000000
[9][2]: 19909349.000000
[9][3]: 1964785.000000
[9][4]: 4044925.000000
[9][5]: 48001297.000000
[9][6]: 44523410.000000
[9][7]: 38469370.000000
[9][8]: 33504692.000000
[9][9]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[9][10]: 19284985.000000
[9][11]: 24464105.000000
[9][12]: 13307461.000000
[9][13]: 12250196.000000
[9][14]: 27807181.000000
[9][15]: 26854425.000000
[9][16]: 52065226.000000
[9][17]: 42697181.000000
[9][18]: 50974676.000000
[9][19]: 25211088.000000
[9][20]: 13106041.000000
[9][21]: 25771842.000000
[9][22]: 16721258.000000
[9][23]: 849041.000000
[9][24]: 10282554.000000
[9][25]: 1278818.000000
[9][26]: 49185149.000000
[9][27]: 45064665.000000
[9][28]: 5936074.000000
[9][29]: 44974449.000000
[9][30]: 41948993.000000
[9][31]: 6127225.000000
[9][32]: 29501972.000000
[9][33]: 12946217.000000
[9][34]: 1213810.000000
[9][35]: 40643396.000000
[9][36]: 50704616.000000
[9][37]: 39476425.000000
[9][38]: 6234784.000000
[9][39]: 26622677.000000
[9][40]: 18644410.000000
[9][41]: 876816.000000
[9][42]: 46166724.000000
[9][43]: 42337709.000000
[9][44]: 1607533.000000
[9][45]: 33324161.000000
[9][46]: 18051010.000000
[9][47]: 3663370.000000

[10][0]: 2932165.000000
[10][1]: 17204441.000000
[10][2]: 1400968.000000
[10][3]: 28789714.000000
[10][4]: 6618440.000000
[10][5]: 8009504.000000
[10][6]: 5663125.000000
[10][7]: 5019453.000000
[10][8]: 2564741.000000
[10][9]: 19284985.000000
[10][10]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[10][11]: 342730.000000
[10][12]: 585268.000000
[10][13]: 1058777.000000
[10][14]: 778570.000000
[10][15]: 4160290.000000
[10][16]: 11238533.000000
[10][17]: 4944292.000000
[10][18]: 9607385.000000
[10][19]: 1098649.000000
[10][20]: 1552394.000000
[10][21]: 2638705.000000
[10][22]: 252137.000000
[10][23]: 14748434.000000
[10][24]: 1428577.000000
[10][25]: 25532849.000000
[10][26]: 9252938.000000
[10][27]: 6187954.000000
[10][28]: 8671181.000000
[10][29]: 7159456.000000
[10][30]: 4351954.000000
[10][31]: 5430330.000000
[10][32]: 1239253.000000
[10][33]: 2722064.000000
[10][34]: 29800125.000000
[10][35]: 4544329.000000
[10][36]: 9218557.000000
[10][37]: 3832820.000000
[10][38]: 3985985.000000
[10][39]: 866650.000000
[10][40]: 6314445.000000
[10][41]: 13692073.000000
[10][42]: 8541193.000000
[10][43]: 4566370.000000
[10][44]: 29794664.000000
[10][45]: 1942690.000000
[10][46]: 505193.000000
[10][47]: 6418921.000000

[11][0]: 2571425.000000
[11][1]: 22304305.000000
[11][2]: 2310282.000000
[11][3]: 35354768.000000
[11][4]: 9961090.000000
[11][5]: 5133386.000000
[11][6]: 3219705.000000
[11][7]: 4204201.000000
[11][8]: 1802425.000000
[11][9]: 24464105.000000
[11][10]: 342730.000000
[11][11]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[11][12]: 1685690.000000
[11][13]: 2598373.000000
[11][14]: 164264.000000
[11][15]: 4871540.000000
[11][16]: 7971605.000000
[11][17]: 2683818.000000
[11][18]: 6460549.000000
[11][19]: 481265.000000
[11][20]: 2514052.000000
[11][21]: 3120713.000000
[11][22]: 1101581.000000
[11][23]: 18978832.000000
[11][24]: 3132725.000000
[11][25]: 31724285.000000
[11][26]: 6239272.000000
[11][27]: 3636368.000000
[11][28]: 12389033.000000
[11][29]: 4524458.000000
[11][30]: 2426320.000000
[11][31]: 7716160.000000
[11][32]: 280969.000000
[11][33]: 4712786.000000
[11][34]: 36024805.000000
[11][35]: 2405917.000000
[11][36]: 6108813.000000
[11][37]: 2364050.000000
[11][38]: 6276961.000000
[11][39]: 624168.000000
[11][40]: 8477305.000000
[11][41]: 18289745.000000
[11][42]: 5771357.000000
[11][43]: 2444356.000000
[11][44]: 35787250.000000
[11][45]: 683524.000000
[11][46]: 794641.000000
[11][47]: 9663917.000000

[12][0]: 5603625.000000
[12][1]: 13212625.000000
[12][2]: 2241476.000000
[12][3]: 21892914.000000
[12][4]: 3698276.000000
[12][5]: 11604260.000000
[12][6]: 9305453.000000
[12][7]: 8525317.000000
[12][8]: 5427385.000000
[12][9]: 13307461.000000
[12][10]: 585268.000000
[12][11]: 1685690.000000
[12][12]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[12][13]: 417157.000000
[12][14]: 2692962.000000
[12][15]: 5982826.000000
[12][16]: 14739125.000000
[12][17]: 8434592.000000
[12][18]: 13355077.000000
[12][19]: 2212405.000000
[12][20]: 532754.000000
[12][21]: 4392121.000000
[12][22]: 485113.000000
[12][23]: 9461554.000000
[12][24]: 283105.000000
[12][25]: 19031185.000000
[12][26]: 12717826.000000
[12][27]: 9745474.000000
[12][28]: 6016565.000000
[12][29]: 10357540.000000
[12][30]: 8076050.000000
[12][31]: 2532682.000000
[12][32]: 3207401.000000
[12][33]: 2188180.000000
[12][34]: 22140253.000000
[12][35]: 7682789.000000
[12][36]: 13029377.000000
[12][37]: 7399496.000000
[12][38]: 1517309.000000
[12][39]: 2739746.000000
[12][40]: 6498997.000000
[12][41]: 9005125.000000
[12][42]: 11576101.000000
[12][43]: 8176034.000000
[12][44]: 22052420.000000
[12][45]: 4515962.000000
[12][46]: 570497.000000
[12][47]: 3368313.000000

[13][0]: 4841608.000000
[13][1]: 9760266.000000
[13][2]: 1216045.000000
[13][3]: 19158157.000000
[13][4]: 2493781.000000
[13][5]: 14846945.000000
[13][6]: 11593282.000000
[13][7]: 7626698.000000
[13][8]: 5248296.000000
[13][9]: 12250196.000000
[13][10]: 1058777.000000
[13][11]: 2598373.000000
[13][12]: 417157.000000
[13][13]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[13][14]: 3430129.000000
[13][15]: 4100981.000000
[13][16]: 18910202.000000
[13][17]: 10540525.000000
[13][18]: 16959744.000000
[13][19]: 3987620.000000
[13][20]: 1796197.000000
[13][21]: 3072746.000000
[13][22]: 366178.000000
[13][23]: 9473517.000000
[13][24]: 175394.000000
[13][25]: 16558810.000000
[13][26]: 16411905.000000
[13][27]: 12365957.000000
[13][28]: 3695066.000000
[13][29]: 13613441.000000
[13][30]: 9189245.000000
[13][31]: 3481589.000000
[13][32]: 4585640.000000
[13][33]: 700585.000000
[13][34]: 21091682.000000
[13][35]: 9990032.000000
[13][36]: 16476100.000000
[13][37]: 7772081.000000
[13][38]: 1902820.000000
[13][39]: 2762281.000000
[13][40]: 3730154.000000
[13][41]: 7485572.000000
[13][42]: 15320720.000000
[13][43]: 9842225.000000
[13][44]: 21589285.000000
[13][45]: 5735789.000000
[13][46]: 1824058.000000
[13][47]: 2533570.000000

[14][0]: 1662669.000000
[14][1]: 24069925.000000
[14][2]: 2252570.000000
[14][3]: 38747880.000000
[14][4]: 11739746.000000
[14][5]: 4740746.000000
[14][6]: 2570165.000000
[14][7]: 2844949.000000
[14][8]: 940405.000000
[14][9]: 27807181.000000
[14][10]: 778570.000000
[14][11]: 164264.000000
[14][12]: 2692962.000000
[14][13]: 3430129.000000
[14][14]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[14][15]: 4113796.000000
[14][16]: 7852697.000000
[14][17]: 2065874.000000
[14][18]: 6079825.000000
[14][19]: 970693.000000
[14][20]: 3945092.000000
[14][21]: 2534845.000000
[14][22]: 1568905.000000
[14][23]: 22237672.000000
[14][24]: 4291921.000000
[14][25]: 34983913.000000
[14][26]: 6021760.000000
[14][27]: 3110440.000000
[14][28]: 13762229.000000
[14][29]: 4333354.000000
[14][30]: 1449128.000000
[14][31]: 10009288.000000
[14][32]: 246341.000000
[14][33]: 5229346.000000
[14][34]: 40211065.000000
[14][35]: 2013017.000000
[14][36]: 5657969.000000
[14][37]: 1284746.000000
[14][38]: 8218085.000000
[14][39]: 306080.000000
[14][40]: 8321893.000000
[14][41]: 20874757.000000
[14][42]: 5781145.000000
[14][43]: 1659380.000000
[14][44]: 40157618.000000
[14][45]: 307700.000000
[14][46]: 1680869.000000
[14][47]: 11598057.000000

[15][0]: 1007785.000000
[15][1]: 15442157.000000
[15][2]: 902954.000000
[15][3]: 32588020.000000
[15][4]: 10101250.000000
[15][5]: 16609522.000000
[15][6]: 11433365.000000
[15][7]: 1699765.000000
[15][8]: 2104337.000000
[15][9]: 26854425.000000
[15][10]: 4160290.000000
[15][11]: 4871540.000000
[15][12]: 5982826.000000
[15][13]: 4100981.000000
[15][14]: 4113796.000000
[15][15]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[15][16]: 22647241.000000
[15][17]: 10368266.000000
[15][18]: 19075541.000000
[15][19]: 8406513.000000
[15][20]: 9927376.000000
[15][21]: 194517.000000
[15][22]: 3113633.000000
[15][23]: 24596276.000000
[15][24]: 5972409.000000
[15][25]: 29620193.000000
[15][26]: 19319204.000000
[15][27]: 13025700.000000
[15][28]: 8592469.000000
[15][29]: 16272594.000000
[15][30]: 6613268.000000
[15][31]: 15139540.000000
[15][32]: 6371777.000000
[15][33]: 2526842.000000
[15][34]: 39408265.000000
[15][35]: 10973981.000000
[15][36]: 18152501.000000
[15][37]: 4131850.000000
[15][38]: 11545729.000000
[15][39]: 2176052.000000
[15][40]: 1538725.000000
[15][41]: 18374481.000000
[15][42]: 19268829.000000
[15][43]: 8570504.000000
[15][44]: 41201458.000000
[15][45]: 5890976.000000
[15][46]: 7553005.000000
[15][47]: 11131585.000000

[16][0]: 14689490.000000
[16][1]: 55693160.000000
[16][2]: 18468161.000000
[16][3]: 70845749.000000
[16][4]: 33043441.000000
[16][5]: 527085.000000
[16][6]: 2156468.000000
[16][7]: 15454772.000000
[16][8]: 11391770.000000
[16][9]: 52065226.000000
[16][10]: 11238533.000000
[16][11]: 7971605.000000
[16][12]: 14739125.000000
[16][13]: 18910202.000000
[16][14]: 7852697.000000
[16][15]: 22647241.000000
[16][16]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[16][17]: 2563037.000000
[16][18]: 227162.000000
[16][19]: 5561650.000000
[16][20]: 13078609.000000
[16][21]: 18877576.000000
[16][22]: 14829748.000000
[16][23]: 41377109.000000
[16][24]: 19107460.000000
[16][25]: 65563780.000000
[16][26]: 136361.000000
[16][27]: 1452109.000000
[16][28]: 39267540.000000
[16][29]: 526765.000000
[16][30]: 5683045.000000
[16][31]: 22592597.000000
[16][32]: 5448346.000000
[16][33]: 24906205.000000
[16][34]: 66386768.000000
[16][35]: 2105794.000000
[16][36]: 369722.000000
[16][37]: 8691561.000000
[16][38]: 22578154.000000
[16][39]: 11092001.000000
[16][40]: 32337812.000000
[16][41]: 45501250.000000
[16][42]: 190786.000000
[16][43]: 3793429.000000
[16][44]: 64065265.000000
[16][45]: 5446897.000000
[16][46]: 9594952.000000
[16][47]: 31560308.000000

[17][0]: 5096753.000000
[17][1]: 40158841.000000
[17][2]: 8424180.000000
[17][3]: 57414722.000000
[17][4]: 22971316.000000
[17][5]: 774740.000000
[17][6]: 28197.000000
[17][7]: 5430493.000000
[17][8]: 3225121.000000
[17][9]: 42697181.000000
[17][10]: 4944292.000000
[17][11]: 2683818.000000
[17][12]: 8434592.000000
[17][13]: 10540525.000000
[17][14]: 2065874.000000
[17][15]: 10368266.000000
[17][16]: 2563037.000000
[17][17]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[17][18]: 1356589.000000
[17][19]: 2440685.000000
[17][20]: 8923282.000000
[17][21]: 8002721.000000
[17][22]: 7103633.000000
[17][23]: 34587202.000000
[17][24]: 11561849.000000
[17][25]: 52740425.000000
[17][26]: 1519090.000000
[17][27]: 159122.000000
[17][28]: 26392781.000000
[17][29]: 851156.000000
[17][30]: 629410.000000
[17][31]: 17864314.000000
[17][32]: 1247185.000000
[17][33]: 13866980.000000
[17][34]: 57226597.000000
[17][35]: 81517.000000
[17][36]: 1100025.000000
[17][37]: 1816616.000000
[17][38]: 16403605.000000
[17][39]: 3535506.000000
[17][40]: 18038029.000000
[17][41]: 34842557.000000
[17][42]: 1746605.000000
[17][43]: 125410.000000
[17][44]: 56367700.000000
[17][45]: 785434.000000
[17][46]: 5294953.000000
[17][47]: 22420625.000000

[18][0]: 11688904.000000
[18][1]: 52451370.000000
[18][2]: 15732205.000000
[18][3]: 68813485.000000
